endTime,artistName,trackName,msPlayed
2020-10-08 13:47,Falling In Reverse,Alone,6222
2020-10-08 13:47,Falling In Reverse,Losing My Mind,557
2020-10-08 13:47,Falling In Reverse,"God, If You Are Above...",4458
2020-10-08 13:51,Falling In Reverse,Just Like You,212612
2020-10-08 13:54,Falling In Reverse,Pick Up The Phone,174498
2020-10-08 15:22,Falling In Reverse,Pick Up The Phone,103132
2020-10-08 15:25,Falling In Reverse,Popular Monster,220537
2020-10-08 15:26,Falling In Reverse,Losing My Life,61617
2020-10-08 15:27,Falling In Reverse,It's Over When It's Over,4086
2020-10-08 15:27,Falling In Reverse,Carry On,9659
2020-10-08 15:32,Falling In Reverse,The Drug In Me Is Reimagined,340071
2020-10-08 15:36,Falling In Reverse,Sink Or Swim,246034
2020-10-08 20:56,Hayley Williams,Dead Horse,199412
2020-10-08 21:00,Hayley Williams,Cinnamon,211834
2020-10-08 21:04,Hayley Williams,Simmer,266115
2020-10-08 21:07,Hayley Williams,Sudden Desire,187969
2020-10-08 21:11,Hayley Williams,Watch Me While I Bloom,224094
2020-10-08 21:14,Hayley Williams,Pure Love,187086
2020-10-08 21:17,Hayley Williams,Creepin',178398
2020-10-08 21:21,Hayley Williams,Over Yet,214959
2020-10-08 21:25,Hayley Williams,My Friend,219073
2020-10-08 21:29,Hayley Williams,Why We Ever,263400
2020-10-08 21:32,Hayley Williams,Taken,165574
2020-10-08 21:35,Hayley Williams,Crystal Clear,212894
2020-10-08 21:38,Hayley Williams,Roses/Lotus/Violet/Iris,164849
2020-10-09 02:37,Hayley Williams,Roses/Lotus/Violet/Iris,156195
2020-10-09 02:41,Hayley Williams,Sugar On The Rim,254321
2020-10-09 02:45,Hayley Williams,Leave It Alone,245076
2020-10-09 02:48,Hayley Williams,Dead Horse,199412
2020-10-09 02:52,Hayley Williams,Cinnamon,211834
2020-10-09 03:30,Hayley Williams,Simmer,154325
2020-10-09 15:28,Hayley Williams,Simmer,111928
2020-10-09 15:31,Hayley Williams,Sudden Desire,187969
2020-10-09 15:35,Hayley Williams,Watch Me While I Bloom,224094
2020-10-09 15:38,Hayley Williams,Pure Love,187086
2020-10-09 15:41,Hayley Williams,Creepin',178398
2020-10-09 15:42,Hayley Williams,Over Yet,80682
2020-10-09 23:00,Hayley Williams,Over Yet,134117
2020-10-09 23:03,Hayley Williams,My Friend,219073
2020-10-09 23:08,Hayley Williams,Why We Ever,243143
2020-10-10 00:01,Hayley Williams,Why We Ever,272827
2020-10-10 00:04,Hayley Williams,Taken,165574
2020-10-10 00:06,Hayley Williams,Crystal Clear,113999
2020-10-10 02:53,Hayley Williams,Crystal Clear,98707
2020-10-10 03:00,Hayley Williams,Sugar On The Rim,19683
2020-10-10 03:00,Hayley Williams,Roses/Lotus/Violet/Iris,321044
2020-10-10 23:49,Hayley Williams,Sugar On The Rim,21687
2020-10-10 23:53,Typhillosion,Naruto Theme Song,216735
2020-10-11 01:47,Typhillosion,Naruto Theme Song,603
2020-10-11 01:48,Bird Of Pray,Ai to Hi – Sadness and Sorrow [from Naruto] - Long Version,33645
2020-10-11 01:49,WALK THE MOON,"Spiraling Down - Live at the Greek Theater, Los Angeles, CA - October 2015",50373
2020-10-11 01:52,WALK THE MOON,Lose You Again,216613
2020-10-11 01:56,WALK THE MOON,Tightrope,209186
2020-10-11 02:02,WALK THE MOON,It's Your Thing,131526
2020-10-11 15:52,WALK THE MOON,It's Your Thing,35866
2020-10-11 15:56,WALK THE MOON,Quesadilla,195280
2020-10-11 15:59,WALK THE MOON,Timebomb,218589
2020-10-11 16:04,Steve Aoki,Back 2 U,255232
2020-10-11 17:48,Steve Aoki,Back 2 U,17623
2020-10-11 17:53,Hayley Williams,Simmer,266115
2020-10-11 17:56,Hayley Williams,Leave It Alone,167052
2020-10-11 18:07,Hayley Williams,Leave It Alone,77982
2020-10-11 18:10,Hayley Williams,Creepin',178398
2020-10-11 18:14,Hayley Williams,Sugar On The Rim,254321
2020-10-11 20:20,Hayley Williams,Cinnamon,211834
2020-10-11 20:23,Hayley Williams,Dead Horse,199412
2020-10-11 20:28,Hayley Williams,Why We Ever,263400
2020-10-11 20:31,Hayley Williams,Crystal Clear,212894
2020-10-11 20:35,Hayley Williams,My Friend,219073
2020-10-11 20:38,Hayley Williams,Sudden Desire,187969
2020-10-11 20:41,Hayley Williams,Pure Love,187086
2020-10-11 21:05,Hayley Williams,Roses/Lotus/Violet/Iris,321044
2020-10-11 21:09,Hayley Williams,Watch Me While I Bloom,224094
2020-10-11 21:12,Hayley Williams,Over Yet,214959
2020-10-11 21:15,Hayley Williams,Taken,165574
2020-10-11 21:20,Hayley Williams,Simmer,266115
2020-10-11 21:24,Hayley Williams,Leave It Alone,245076
2020-10-11 21:26,Hayley Williams,Creepin',124661
2020-10-13 18:44,Hayley Williams,Creepin',5946
2020-10-13 18:48,Hayley Williams,Sugar On The Rim,254321
2020-10-13 18:52,Hayley Williams,Cinnamon,211834
2020-10-13 18:55,Hayley Williams,Dead Horse,199412
2020-10-13 19:00,Ross Harper,Rushing,31672
2020-10-13 19:00,Hayley Williams,Crystal Clear,19794
2020-10-13 19:00,Hayley Williams,Why We Ever,263400
2020-10-13 19:03,Purrple Cat,Midnight Snack,592
2020-10-13 19:03,eevee,where you want to go?,125503
2020-10-13 19:06,Samares,Danse,201735
2020-10-13 19:09,Cœur De Pirate,Corbeau,174600
2020-10-13 19:12,Peppermoon,Nos Ballades,204416
2020-10-13 19:15,Stephane Wrembel,Bistro Fada,182933
2020-10-13 19:18,Joe Dassin,A toi,169546
2020-10-13 19:22,JP Nataf,Mon ami d'en haut,224532
2020-10-13 19:25,Camille,Pour que l'amour me quitte,166720
2020-10-13 19:28,Carla Bruni,Chanson triste,213586
2020-10-13 19:31,Keren Ann,L'onde amère,179653
2020-10-13 19:34,Pauline Croze,T'es beau,163158
2020-10-13 19:37,Carla Bruni,Tu es ma came,182906
2020-10-13 19:41,Guillaume Grand,Toi et moi,226093
2020-10-13 19:44,Cora Vaucaire,Quand tu dors,187373
2020-10-13 19:47,Carla Bruni,L'amour,188000
